,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,minutes,age_y
1391,1392,10,21,0.476,3,9,0.333,1,2,0.5,1,10,9,0,2,3,1,24,20.9,3,1,4,38.5333333,33.85479452
1392,1393,10,18,0.556,3,6,0.5,2,3,0.667,1,6,2,1,0,3,2,25,17.1,2,1,15,31.2833333,33.8630137
1393,1394,10,20,0.5,3,9,0.333,3,7,0.429,3,4,4,2,0,4,1,26,18.1,22,1,1,34.3,33.86575342
1394,1395,13,19,0.684,5,6,0.833,13,15,0.867,2,8,9,1,3,4,0,44,44.3,4,1,9,36,33.8739726
1395,1396,8,19,0.421,3,6,0.5,3,4,0.75,0,4,7,0,1,3,0,22,15.3,-11,0,-13,25.8833333,33.88219178
1396,1397,19,31,0.613,6,8,0.75,7,10,0.7,1,7,3,2,1,2,3,51,40.1,20,1,16,38.4833333,33.88493151
1397,1398,11,20,0.55,2,6,0.333,8,12,0.667,2,12,7,0,1,4,3,32,26.2,9,1,4,35.5,33.89315068
1398,1399,8,17,0.471,2,5,0.4,4,6,0.667,1,9,7,2,1,5,1,22,18.1,13,1,7,35.0666667,33.89863014
1399,1400,8,14,0.571,2,7,0.286,6,11,0.545,0,4,7,0,1,6,4,24,14.6,-14,0,-4,40.45,33.90410959
1400,1401,5,15,0.333,0,4,0,4,6,0.667,0,7,2,2,2,4,0,14,7.6,-23,0,-32,30.0666667,33.90958904
1401,1402,15,27,0.556,2,7,0.286,6,10,0.6,1,8,7,2,0,4,2,38,28.7,19,1,8,38.15,33.91506849
1402,1403,12,21,0.571,2,4,0.5,2,4,0.5,2,3,4,0,1,4,3,28,17.9,10,1,11,31.3166667,33.91780822
1403,1404,9,17,0.529,1,5,0.2,3,4,0.75,0,6,8,0,1,5,0,22,16.4,12,1,24,30.9833333,33.92328767
